id;tech_id;remote_id;numero_rue;nom_rue;complement
1;magenta;12024;54069;Gorgeous;Small Rubber Shoes
2;secured line;59835;7424;Focused;quantify Ergonomic Fresh Salad SCSI
3;matrices visionary Officer;62617;7896;Streamlined virtual;interfaces
4;Consultant;85569;57334;deposit Streamlined;Investment Account
5;bandwidth;52523;90962;Vatu;Refined Frozen Towels Beauty North Korean Won
6;support;43459;46443;Rubber customized Table;Personal Loan Account
7;Pike wireless;63960;23743;Avon Intelligent extend;Technician web-enabled
8;Investment Account;74359;98384;motivating optimize;Adaptive vertical Pines
9;Corporate;23885;27681;Architect info-mediaries;Savings Account Plain
10;holistic plum;51657;53700;TCP;gold
