id;tech_id;remote_id;profile;ressource;permission;acces
1;teal sky blue Gorgeous;35667;quantify motiva;reinvent Human;Cape Verde;ba
2;customized Product Chips;50705;Savings Account;Pants;alarm hack;Pe
3;firewall toolset Administrator;48535;Metal alarm cha;JBOD systems Keyboard;Kwacha;An
4;programming blue innovate;97345;cutting-edge;programming;Handmade c;Tu
5;Networked transmitting;87982;Chile Realigned;bypassing;program;Fr
6;ivory Credit Card Account;43550;Louisiana bus;Streets Engineer deposit;feed;ex
7;Movies Colombian Peso Unidad de Valor Real Pizza;65528;Assistant;analyzing;cross-medi;fr
8;Small Soft Gloves;40830;reboot Human;transmit;Handcrafte;Fl
9;deploy;37950;Synergistic del;synergize;primary La;dr
10;Fresh;70768;Agent;synthesize optical Industrial;Credit Car;mo
